Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1997,7933,7647,7399,6551,6398,7094,6981,6594,6403,5995,5914,5957
1998,7069,6804,6816,5643,5764,6534,6567,6173,6039,5831,5711,5565
1999,6604,6563,6119,5688,5507,6271,6319,5826,5661,5372,5380,5245
2000,6316,6284,6069,5212,5460,5959,6028,5863,5359,5153,5336,5264
2001,6647,6523,6509,6004,5901,6816,6858,7017,6766,7175,7617,7773
2002,9051,8823,8776,8255,7969,8758,8693,8271,7790,7769,8170,8209
2003,9395,9260,9018,8501,8500,9649,9319,8830,8436,8169,8269,7945
2004,9144,8770,8834,7837,7792,8616,8518,7940,7545,7531,7665,7599
2005,8444,8549,7986,7335,7287,7870,7839,7327,7259,6964,7271,6956
2006,7608,7692,7255,6804,6655,7341,7602,7086,6625,6272,6576,6491
2007,7649,7400,6913,6532,6486,7295,7556,7088,6952,6773,6917,7371
2008,8221,7953,8027,7287,8076,8933,9433,9479,9199,9469,10015,10999
2009,13009,13699,13895,13248,13973,15095,15201,14823,14538,14547,14407,14740
2010,16147,15991,15678,14609,14369,14885,15137,14759,14140,13903,14282,13997
2011,14937,14542,14060,13237,13421,14409,14428,14008,13520,13102,12613,12692
2012,13541,13430,12904,11910,12271,13184,13400,12696,11742,11741,11404,11844
2013,13181,12500,11815,11014,11302,12248,12083,11462,10885,10773,10271,9984
2014,10855,10893,10537,9079,9443,9893,10307,9787,8962,8680,8630,8331
2015,9498,9095,8682,7966,8370,8638,8805,8162,7628,7597,7573,7542
2016,8309,8219,8116,7413,7207,8144,8267,7996,7658,7447,7066,7170
2017,8149,7887,7284,6555,6572,7250,7441,7287,6556,6242,6286,6278
2018,7189,7091,6671,5932,5756,6812,6730,6370,5766,5771,5650,6029
2019,7140,6625,6382,5387,5503,6292,6556,6203,5465,5510,5441,5503
2020,6504,6218,7370,22504,20514,18072,16882,13742,12277,10620,10264,10404
2021,10851,10486,9905,9220,8829,9883,9221,8556,7366,6896,6302,5964
2022,7207,6782,6168,5458,5548,6334,6255,6256,5460,5609,5523,5352
2023,6378,6465,6043,5146,5700,6351,6372,6623,6049,6098,5827,5907
